Sequence 1,Sequence 2,LCS Value,Time (s)
Seq4,Seq158,0,0.85231
Seq4,Seq159,2,0.83759
Seq4,Seq166,0,0.44003
Seq4,Seq160,0,0.85807
Seq4,Seq167,0,0.44049
Seq4,Seq161,0,0.83222
Seq4,Seq170,0,0.43537
Seq4,Seq168,0,0.47429
Seq4,Seq171,0,0.44132
Seq4,Seq172,0,0.44124
Seq4,Seq173,0,0.47434
Seq4,Seq174,0,0.47125
Seq4,Seq175,0,0.43647
Seq4,Seq165,0,0.86827
Seq4,Seq157,0,1.37941
Seq4,Seq179,0,0.46387
Seq4,Seq177,0,0.49569
Seq4,Seq180,0,0.46135
Seq4,Seq181,0,0.45819
Seq4,Seq178,0,0.48864
Seq4,Seq176,0,0.84016
Seq4,Seq169,0,1.30841
Seq5,Seq2,1352,1.34007
Seq5,Seq3,1382,1.33185
Seq5,Seq1,1361,1.37607
Seq5,Seq4,1385,1.33691
Seq5,Seq9,1239,1.20728
Seq5,Seq5,1489,1.32801
Seq5,Seq6,1391,1.33128
Seq5,Seq8,1379,1.33173
Seq5,Seq11,1294,1.26793
Seq5,Seq13,1330,1.31953
Seq5,Seq12,1335,1.32117
Seq5,Seq14,1328,1.3212
Seq5,Seq10,1363,1.42344
Seq5,Seq7,0,1.68389
Seq5,Seq15,1356,1.36241
Seq5,Seq16,1324,1.29881
Seq5,Seq20,1388,1.38159
Seq5,Seq21,1225,1.1924
Seq5,Seq23,1217,1.19114
Seq5,Seq22,1265,1.25285
Seq5,Seq24,1262,1.24771
Seq5,Seq25,1260,1.23774
Seq5,Seq27,1326,1.30022
Seq5,Seq26,1323,1.30206
Seq5,Seq28,1339,1.38845
Seq5,Seq18,1359,1.80603
Seq5,Seq17,1373,1.81889
Seq5,Seq29,1356,1.33575
Seq5,Seq19,1362,1.81978
Seq5,Seq30,1209,1.3333
Seq5,Seq32,1318,1.25744
Seq5,Seq31,1329,1.3357
Seq5,Seq33,1228,1.20414
Seq5,Seq35,1292,1.25385
Seq5,Seq34,1370,1.37449
Seq5,Seq36,1376,1.31034
Seq5,Seq37,1342,1.30951
Seq5,Seq38,1339,1.29817
Seq5,Seq39,1342,1.30374
Seq5,Seq40,1342,1.30291
Seq5,Seq44,1313,1.25944
Seq5,Seq41,1343,1.30125
Seq5,Seq45,1305,1.26077
Seq5,Seq42,1333,1.30396
Seq5,Seq43,1321,1.30406
Seq5,Seq46,1308,1.25338
Seq5,Seq47,1279,1.24423
Seq5,Seq48,1268,1.22951
Seq5,Seq50,1264,1.2288
Seq5,Seq51,1272,1.2368
Seq5,Seq52,1385,1.32632
Seq5,Seq53,1389,1.36458
Seq5,Seq54,1369,1.38613
Seq5,Seq56,1317,1.32045
Seq5,Seq61,1311,1.25643
Seq5,Seq57,1309,1.30284
Seq5,Seq60,1334,1.3138
Seq5,Seq59,1339,1.32544
Seq5,Seq58,1359,1.33982
Seq5,Seq55,1362,1.44977
Seq5,Seq62,1308,1.24635
Seq5,Seq49,1371,1.93694
Seq5,Seq64,1306,1.2551
Seq5,Seq63,2,1.34209
Seq5,Seq65,1307,1.24319
Seq5,Seq66,1310,1.25138
Seq5,Seq67,1304,1.24519
Seq5,Seq68,1305,1.24864
Seq5,Seq69,0,1.35665
Seq5,Seq72,1314,1.26057
